,algorithm_name
387,weka.SMO_RBFKernel
389,weka.IBk
390,weka.JRip
391,weka.RandomForest
392,weka.A1DE
393,weka.A2DE
394,weka.AdaBoostM1_ADTree
396,weka.AdaBoostM1_BayesianLogisticRegression
397,weka.BayesianLogisticRegression
398,weka.AdaBoostM1_BFTree
404,weka.AdaBoostM1_IBk
405,weka.AdaBoostM1_J48
406,weka.AdaBoostM1_JRip
407,weka.AdaBoostM1_LADTree
411,weka.AdaBoostM1_LMT
413,weka.AdaBoostM1_LWL_DecisionStump
417,weka.AdaBoostM1_NaiveBayes
418,weka.AdaBoostM1_OneR
419,weka.AdaBoostM1_RandomForest
420,weka.AdaBoostM1_RandomTree
422,weka.AdaBoostM1_REPTree
423,weka.AdaBoostM1_SMO_PolyKernel
441,weka.ComplementNaiveBayes
444,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_DecisionStump
471,weka.LogitBoost_DecisionStump
482,weka.MultiBoostAB_DecisionStump
506,weka.RotationForest_PrincipalComponents_J48
523,weka.Bagging_J48
524,weka.Bagging_JRip
527,weka.Bagging_LMT
528,weka.Bagging_LWL_DecisionStump
529,weka.Bagging_MultilayerPerceptron
530,weka.Bagging_NaiveBayes
531,weka.Bagging_OneR
532,weka.Bagging_RandomForest
533,weka.Bagging_RandomTree
534,weka.Bagging_SMO_PolyKernel
535,weka.Bagging_SPegasos
548,weka.BayesNet_GeneticSearch
563,weka.NaiveBayesUpdateable
582,weka.CVParameterSelection_ZeroR
583,weka.Dagging_DecisionStump
584,weka.Decorate
585,weka.END_ND_J48
589,weka.Grading_ZeroR
591,weka.IterativeClassifierOptimizer_LogitBoost_DecisionStump
592,weka.RacedIncrementalLogitBoost_DecisionStump
593,weka.RandomCommittee_RandomTree
595,weka.RealAdaBoost_DecisionStump
596,weka.ThresholdSelector_Logistic
597,weka.Vote_ZeroR
598,weka.MultiBoostAB_NaiveBayes
599,weka.MultiBoostAB_MultilayerPerceptron
611,weka.MultiBoostAB_ADTree
613,weka.MultiBoostAB_SPegasos
615,weka.RealAdaBoost_NaiveBayes
616,weka.RealAdaBoost_Logistic
622,weka.RealAdaBoost_RandomTree
675,weka.J48
677,weka.Logistic
707,RandomRules
1068,weka.J48
1069,weka.ZeroR
1070,weka.Ridor
1071,weka.OneR
1072,weka.Prism
1073,weka.PART
1074,weka.OLM
1075,weka.NNge
1076,weka.SimpleCart
1077,weka.REPTree
1078,weka.RandomTree
1079,weka.RandomForest
1080,weka.NBTree
1082,weka.LMT
1084,weka.J48graft
1086,weka.Id3
1087,weka.HoeffdingTree
1088,weka.FT
1089,weka.ExtraTree
1090,weka.DecisionStump
1091,weka.BFTree
1094,weka.JRip
1095,weka.DTNB
1096,weka.DecisionTable_BestFirst
1098,weka.ConjunctiveRule
1099,weka.CHIRP
1100,weka.HyperPipes
1101,weka.InputMappedClassifier_ZeroR
1102,weka.OSDL
1103,weka.VFI
1104,weka.IB1
1105,weka.IBk
1106,weka.KStar
1107,weka.LBR
1108,weka.LWL_DecisionStump
1111,weka.KernelLogisticRegression_PolyKernel
1112,weka.LibLINEAR
1114,weka.Logistic
1115,weka.MultilayerPerceptron
1116,weka.MultilayerPerceptronCS
1117,weka.RBFClassifier
1120,weka.SGD
1154,weka.NaiveBayes
1155,weka.FilteredClassifier_Standardize_NaiveBayes
1157,weka.FilteredClassifier_MultiFilter_ReplaceMissingValues_NaiveBayes
1160,weka.AttributeSelectedClassifier_PrincipalComponents_Ranker_J48
1163,weka.FilteredClassifier_PrincipalComponents_J48
1165,weka.A1DE
1166,weka.A2DE
1168,weka.BayesNet_K2
1172,weka.LibSVM
1173,weka.HNB
1174,weka.KernelLogisticRegression_RBFKernel
1177,weka.SimpleLogistic
1178,weka.SMO_PolyKernel
1179,weka.SMO_RBFKernel
1180,weka.SPegasos
1181,weka.Winnow
1182,weka.AdaBoostM1_DecisionStump
1183,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_J48
1185,weka.Bagging_REPTree
1186,weka.Dagging_DecisionStump
1187,weka.Decorate
1188,weka.END_ND_J48
1190,weka.Grading_ZeroR
1191,weka.LogitBoost_DecisionStump
1192,weka.MultiBoostAB_DecisionStump
1193,weka.RacedIncrementalLogitBoost_DecisionStump
1194,weka.RandomSubSpace_REPTree
1195,weka.RealAdaBoost_DecisionStump
1196,weka.RotationForest_PrincipalComponents_J48
1197,weka.FURIA
1199,weka.ADTree
1200,weka.LADTree
1244,weka.FilteredClassifier_Discretize_J48
1373,classif.sda.tuned
1377,classif.sda.tuned
1379,classif.sda.tuned
1382,classif.sda.tuned
1438,classif.rpart
1439,classif.randomForest
1440,classif.randomForest
1442,classif.randomForest
1443,classif.rpart
1444,classif.randomForest
1445,classif.rpart
1448,classif.randomForest
1449,classif.rpart
1716,weka.NaiveBayesUpdateable
1718,weka.ZeroR
1719,weka.OneR
1720,weka.J48
1721,weka.IBk
1724,weka.REPTree
1725,weka.RandomTree
1726,weka.RandomForest
1727,weka.LMT
1728,weka.HoeffdingTree
1729,weka.DecisionStump
1730,weka.JRip
1745,weka.NaiveBayes
1750,classif.J48
1789,weka.PART
1805,weka.Logistic
1820,weka.MultilayerPerceptron
1841,classif.randomForest
1880,weka.NaiveBayesUpdateable
1944,weka.SGD
1965,weka.VotedPerceptron
1970,weka.NaiveBayesMultinomial
2010,weka.SimpleLogistic
2032,weka.AdaBoostM1_JRip
2034,weka.Stacking_RandomTree
2048,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_J48
2054,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_REPTree
2058,weka.Bagging_REPTree
2070,weka.RandomSubSpace_REPTree
2072,weka.CVParameterSelection_ZeroR
2074,weka.LogitBoost_DecisionStump
2094,weka.AdaBoostM1_REPTree
2096,weka.Bagging_HoeffdingTree
2136,weka.Bagging_JRip
2140,weka.Bagging_RandomTree
2151,weka.RandomCommittee_RandomTree
2166,classif.J48
2167,classif.JRip
2168,classif.IBk
2169,classif.LiblineaRL1LogReg
2228,weka.SMO_PolyKernel
2230,weka.SMO_RBFKernel
2236,weka.A1DE
2237,weka.A1DEUpdateable
2238,weka.A2DE
2239,weka.A2DEUpdateable
2242,weka.KernelLogisticRegression_PolyKernel
2243,weka.KernelLogisticRegression_RBFKernel
2244,weka.RBFNetwork
2245,weka.SPegasos
2246,weka.Winnow
2247,weka.IB1
2250,weka.MultiClassClassifierUpdateable_SGD
2254,weka.LibSVM
2255,weka.HyperPipes
2256,weka.Ridor
2257,weka.OLM
2258,weka.FURIA
2259,weka.DTNB
2261,weka.ConjunctiveRule
2262,weka.SimpleCart
2263,weka.NBTree
2264,weka.LADTree
2265,weka.BFTree
2266,weka.ADTree
2267,weka.AdaBoostM1_DecisionStump
2268,weka.AdaBoostM1_J48
2269,weka.Bagging_J48
2270,weka.Bagging_HyperPipes
2272,weka.Bagging_DecisionStump
2277,weka.Bagging_RandomForest
2278,weka.MultiScheme_REPTree
2283,weka.Bagging_NaiveBayes
2291,classif.blackboost
2292,classif.IBk
2293,classif.J48
2294,classif.JRip
2295,classif.LiblineaRL1LogReg
2296,classif.LiblineaRL2LogReg
2297,classif.OneR
2298,classif.PART
2299,classif.ada
2300,classif.avNNet
2301,classif.bartMachine
2302,classif.bdk
2303,classif.binomial
2304,classif.boosting
2305,classif.cforest
2306,classif.ctree
2307,classif.dbnDNN
2308,classif.extraTrees
2309,classif.gbm
2310,classif.glmboost
2311,classif.hdrda
2312,classif.ksvm
2313,classif.lda
2314,classif.logreg
2315,classif.lqa
2316,classif.mlp
2317,classif.multinom
2318,classif.naiveBayes
2319,classif.neuralnet
2320,classif.nnTrain
2321,classif.nnet
2322,classif.nodeHarvest
2323,classif.pamr
2324,classif.plr
2326,classif.probit
2327,classif.qda
2328,classif.randomForest
2330,classif.ranger
2331,classif.rda
2332,classif.rotationForest
2333,classif.rpart
2334,classif.saeDNN
2335,classif.sda
2336,classif.svm
2337,classif.xgboost
2338,classif.xyf
2390,classif.rpart
2391,classif.J48
2392,classif.glmboost
2393,classif.randomForest
2408,classif.glmnet
2409,classif.kknn
2410,classif.mda
2411,classif.sparseLDA
2459,weka.SMO_NormalizedPolyKernel
2461,weka.SMO_Puk
2517,classif.lda
2522,rm.process.parallel_decision_tree
2539,classif.randomForestSRC
2540,classif.plsdaCaret
2553,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_IBk
2554,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_NaiveBayes
2555,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_RandomForest
2560,classif.boosting
2561,classif.ranger
2563,classif.cforest
2565,classif.glmnet
2566,classif.IBk
2567,classif.gbm
2568,classif.JRip
2569,classif.ctree
2570,classif.kknn
2571,classif.ksvm
2572,classif.multinom
2573,classif.OneR
2574,classif.nnet
2575,classif.naiveBayes
2576,classif.PART
2577,classif.mda
2578,classif.nodeHarvest
2579,classif.logreg
2580,classif.plr
2581,classif.rda
2582,classif.randomForestSRC
2583,classif.qda
2584,classif.svm
2585,classif.rotationForest
2586,classif.xgboost
2587,classif.avNNet
2588,classif.ada
2590,classif.bdk
2591,classif.dbnDNN
2592,classif.binomial
2593,classif.blackboost
2594,classif.extraTrees
2595,classif.hdrda
2596,classif.LiblineaRL1LogReg
2597,classif.LiblineaRL2LogReg
2598,classif.mlp
2599,classif.lqa
2600,classif.neuralnet
2601,classif.nnTrain
2602,classif.pamr
2603,classif.plsdaCaret
2604,classif.probit
2605,classif.sda
2606,classif.saeDNN
2607,classif.sparseLDA
2608,classif.xyf
2763,weka.Stacking_J48
2791,weka.KStar
2793,classif.randomForest
3284,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_HoeffdingTree
3287,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_SGD
3326,classif.gbm
3331,classif.ada
3332,classif.avNNet
3353,classif.svm
3354,classif.randomForest
3356,classif.IBk
3357,classif.J48
3358,classif.gbm
3359,classif.IBk
3360,classif.ada
3361,classif.svm
3362,classif.J48
3363,classif.avNNet
3364,classif.boosting
3411,classif.cforest
3416,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_SMO_PolyKernel
3418,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_Logistic
3419,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_MultilayerPerceptron
3420,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_JRip
3421,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_AdaBoostM1_DecisionStump
3448,weka.Bagging_IBk
3456,weka.AttributeSelectedClassifier_InfoGainAttributeEval_Ranker_J48
3457,weka.AttributeSelectedClassifier_InfoGainAttributeEval_Ranker_HoeffdingTree
3458,weka.AttributeSelectedClassifier_InfoGainAttributeEval_Ranker_RandomForest
3459,weka.AttributeSelectedClassifier_InfoGainAttributeEval_Ranker_REPTree
3460,weka.AttributeSelectedClassifier_InfoGainAttributeEval_Ranker_JRip
3461,weka.AttributeSelectedClassifier_InfoGainAttributeEval_Ranker_AdaBoostM1
3463,weka.AttributeSelectedClassifier_InfoGainAttributeEval_Ranker_IBk
3464,weka.AttributeSelectedClassifier_InfoGainAttributeEval_Ranker_Logistic
3465,weka.AttributeSelectedClassifier_InfoGainAttributeEval_Ranker_MultilayerPerceptron
3466,weka.AttributeSelectedClassifier_InfoGainAttributeEval_Ranker_SGD
3467,weka.AttributeSelectedClassifier_InfoGainAttributeEval_Ranker_SMO
3469,weka.AttributeSelectedClassifier_InfoGainAttributeEval_Ranker_NaiveBayes
3470,weka.AttributeSelectedClassifier_GainRatioAttributeEval_Ranker_J48
3471,weka.AttributeSelectedClassifier_GainRatioAttributeEval_Ranker_HoeffdingTree
